FANGJIA_ADDRESS,FANGJIA_NAME,FANGJIA_URL,FANGJIA_PRICE
建设巷13号,太阳公元,http://cd.fang.lianjia.com/loupan/p_tygyaaejd/, 19000
东大街锦东路（牛市口派出所旁）,九龙仓擎天半岛,http://cd.fang.lianjia.com/loupan/p_jlcqtbdaaccv/, 21000
新华公园旁小龙桥路30号,中海新华府,http://cd.fang.lianjia.com/loupan/p_zhxhfaaquk/, 16000
正通路(社保局对面),金座威尼谷,http://cd.fang.lianjia.com/loupan/p_jzwngaabue/, 9500
西三环蜀鑫路与清波路交汇处（华润金悦湾对面）,海亮樾金沙,http://cd.fang.lianjia.com/loupan/p_hlyjsaaeju/, 18000
金马国际体育城太极大道66号（体育城附近）,东原城,http://cd.fang.lianjia.com/loupan/p_dycaadxr/, 7000
广场路（技师学院对面）,同森锦熙,http://cd.fang.lianjia.com/loupan/p_tsjxaarwl/, 6900
桐凤路39号,紫檀,http://cd.fang.lianjia.com/loupan/p_ztaaunp/, 25000
新成彭路大天路出口左侧,融创凯旋东岸,http://cd.fang.lianjia.com/loupan/p_rckxdaaatqj/, 9000
阳光城幸福大道,林溪康城,http://cd.fang.lianjia.com/loupan/p_lxkcaalhw/, 6500
2.5环内昭觉寺横路（中国电信旁）,泛悦城市广场,http://cd.fang.lianjia.com/loupan/p_fycsgcaapwq/, 12000
致力东街领地海纳时代,领地海纳时代,http://cd.fang.lianjia.com/loupan/p_ldhnsdaaeip/, 12000
驿都大道北海亮彩悦府,海亮彩悦府,http://cd.fang.lianjia.com/loupan/p_hlcyfaacve/, 12000
西梨路一段（中铁奥维尔旁）,中冶中央公园,http://cd.fang.lianjia.com/loupan/p_zyzygyaamyc/, 5500
培风路276号（成都实验小学西区旁）,颐和京都,http://cd.fang.lianjia.com/loupan/p_yhjdaacat/, 12500
九江镇万家街道（星空路与香榭大道交汇处）,华润公园九里,http://cd.fang.lianjia.com/loupan/p_dwchrgyjlaatrl/, 7500
簇锦街办铁佛村3、8组(武侯大道铁佛段与金履路交汇处),西派城,http://cd.fang.lianjia.com/loupan/p_xpcaaupw/, 20000
丽都路700号（置信丽都花园丽府对面）,中环丰锦,http://cd.fang.lianjia.com/loupan/p_zhfjaakke/, 20000
顺城大街316号,融城云熙,http://cd.fang.lianjia.com/loupan/p_dygjaaehl/, 16000
天府一街与益州大道交界处,中洲锦城湖岸,http://cd.fang.lianjia.com/loupan/p_zzjchaaaibm/, 24000
新成彭路大天路出口左侧（博雅新城旁）,优品道珑苑,http://cd.fang.lianjia.com/loupan/p_ypdlyaasbn/, 8500
三圣乡成龙大道二段北大附小正对门（川师成龙校区旁）,天府逸家二期,http://cd.fang.lianjia.com/loupan/p_tfyjaaarn/, 8800
槐树店一路300号,鲁能城,http://cd.fang.lianjia.com/loupan/p_lncaaqof/, 17000
二环路东三段双庆路6号,华润二十四城七期,http://cd.fang.lianjia.com/loupan/p_hresscqqaasby/, 15500
南三环娇子立交外侧,首创娇子1号,http://cd.fang.lianjia.com/loupan/p_scjzaapwu/, 11000
建功路66号（荣新加油站东南方900米）,蓝光雍锦阁,http://cd.fang.lianjia.com/loupan/p_lgyjgaaqcp/, 18500
双流东升街道航园路（棠湖中学实验学校旁）,棠府锦绣城,http://cd.fang.lianjia.com/loupan/p_tfjxcaarws/, 7900
中和大道二段69号,红树湾,http://cd.fang.lianjia.com/loupan/p_hswaacow/, 19000
电子路(原红光七分厂),桂湖名城二期,http://cd.fang.lianjia.com/loupan/p_ghmceqaaqzu/, 5000
跳蹬河南路18号,成华奥园广场二期,http://cd.fang.lianjia.com/loupan/p_chaygceqaausi/, 13800
红光镇港通北一路567号,中铁西郡英华三期,http://cd.fang.lianjia.com/loupan/p_aamsi/, 6400
西货站路207号,融创观玺台花园,http://cd.fang.lianjia.com/loupan/p_rcgxtaauaw/, 17300
晋原镇大邑县西街95号（原九龙超市旁）,大邑惠山公馆一期,http://cd.fang.lianjia.com/loupan/p_hsggaawwv/, 4700
青白江区华逸中路999号（青白江客运站旁）,合谊同华,http://cd.fang.lianjia.com/loupan/p_hythablnv/, 8000
金彭中路355号,锦绣尚城,http://cd.fang.lianjia.com/loupan/p_jxscaazcf/, 4980
江源南路（妇幼保健院旁）,隆腾公元壹号,http://cd.fang.lianjia.com/loupan/p_ltgyyhaazbl/, 6700
蜀龙大道北段（石油大学西门对面）,思学园智能村,http://cd.fang.lianjia.com/loupan/p_sxyzncaabdb/, 8600
寿安镇（陈家桅杆附近）,乐古浪,http://cd.fang.lianjia.com/loupan/p_yglaabmd/, 5700
古城镇蜀源大道三段588,蓉晶公馆,http://cd.fang.lianjia.com/loupan/p_rjggaabug/, 4700
赤虎桥南街1号（华宇阳光水岸旁）,香澜半岛,http://cd.fang.lianjia.com/loupan/p_xlbdaaeba/, 14500
成华区荆竹东路与东荆路交汇处,首创花与城二期,http://cd.fang.lianjia.com/loupan/p_scghcaatzt/, 17800
三河街道叠秀路1999号（五龙山公园内）,万科五龙山璞院,http://cd.fang.lianjia.com/loupan/p_wkwlspyabcsp/, 14000
顺江路335号（望江公园和川大旁）,阿玛尼艺术公寓,http://cd.fang.lianjia.com/loupan/p_amnysgyaaptu/, 60000
新民镇新河西街（大成街旁）,香城润园,http://cd.fang.lianjia.com/loupan/p_xcryabaze/, 4500
繁川家具大道957号（好风景家私旁）,美林国际社区,http://cd.fang.lianjia.com/loupan/p_mlgjsqabalr/, 9000
崇州市滨江路南二段（太阳岛广场南300米）,南城滨河湾,http://cd.fang.lianjia.com/loupan/p_ncbhwabayu/, 6300
街子古镇金鱼街1号（青城神韵一期旁）,青城神韵二期,http://cd.fang.lianjia.com/loupan/p_qcsyeqabazc/, 8500
犀浦镇金粮路,锦巷兰台,http://cd.fang.lianjia.com/loupan/p_ldjxltaatqq/, 15000
益州大道中段699号（天府一街与天府二街之间）,香月湖,http://cd.fang.lianjia.com/loupan/p_ljxycaatzr/, 24000
晋原镇潘家街三段23号,玉峰,http://cd.fang.lianjia.com/loupan/p_yfabgqp/, 4800
街子古镇三街路209号,青城山居,http://cd.fang.lianjia.com/loupan/p_qcsjaahel/, 13000
东升街道宜城大街一段333号,三里花城二期,http://cd.fang.lianjia.com/loupan/p_slhceqabdmt/, 10000
新都区蜀龙路1980号（三环蜀龙路熊猫基地旁）,保利公园198观岭台,http://cd.fang.lianjia.com/loupan/p_bllfydaamnr/, 10000
提督街99号（近四川国际大厦E区）,恒大广场,http://cd.fang.lianjia.com/loupan/p_hdhzgcaamoj/, 30000
汇泉南路333号,吉宝凌云峰阁,http://cd.fang.lianjia.com/loupan/p_jblyfgaabuo/, 31000
南三环路南五段188号（蓝天立交桥旁边）,美洲花园棕榈湾,http://cd.fang.lianjia.com/loupan/p_mzhyzlwaakst/, 17000
通宝街88号,伊泰天骄,http://cd.fang.lianjia.com/loupan/p_yttjaaexj/, 27000
安德镇政府路1号（安德政府对面）,杜鹃城,http://cd.fang.lianjia.com/loupan/p_djcaaljo/, 4300
